TeamId,TeamName,PrivateLeaderboardRank,PrivateLeaderboardScore
6789629,Jiashen Liu,3344.0,0.3375
7019898,KSMCG90,3186.0,0.30944
7019911,kaggle-hime,188.0,0.22011
7019918,Usman Akram,446.0,0.22204000000000002
7019929,currypurin,2809.0,0.24766999999999997
7019930,Suman Sahoo,1347.0,0.22424000000000002
7019944,tnk,2601.0,0.23811
7019989,Eduardo Peynetti,3.0,0.19883
7020010,yuvaramsingh,3365.0,0.3375
7020025,Heads or Tails,863.0,0.22309
7020026,NVIDIA[RAPIDS.AI] Lightspeed,1394.0,0.22444
7020033,shige_skywalker,1163.0,0.22343000000000002
7020039,AL2021,450.0,0.22207
7020060,usakamex,3285.0,0.33228
7020073,Stonks ↑,2188.0,0.23021
7020085,Gerwyn Ng,744.0,0.22276999999999997
7020093,Mathurin Aché,1202.0,0.22366999999999998
7020104,shoji,1639.0,0.22579000000000002
7020116,senkin13,1454.0,0.2248
7020117,makogarei,56.0,0.21768
7020126,LoFu Han,2696.0,0.24188
7020136,Ordinary Student,2557.0,0.2365
7020162,DrCapa,3762.0,1.06744
7020165,Hiroyuki Sato,3240.0,0.31889
7020178,Ulrich G.,44.0,0.21706
7020186,Munum Butt,67.0,0.21806
7020204,tpmeli,1362.0,0.22435
7020209,Rami Khreas,1436.0,0.22475
7020231,Kostadinov,2131.0,0.22876
7020233,TEM,3345.0,0.3375
7020252,Dr. Amrit,356.0,0.22149000000000002
7020284,Iwamoto,1599.0,0.22562
7020301,Jeong-Yoon Lee,825.0,0.22304000000000002
7020309,Cats Making Markets,1103.0,0.22339
7020310,Vlad Balanda,1928.0,0.22771
7020316,Victor Gonzalez,2761.0,0.24404
7020320,zhuoyin94,3162.0,0.30435999999999996
7020326,Ryan Barretto,3661.0,0.51266
7020355,Sanyam Bhutani,3200.0,0.31073
7020369,Heroseo,1348.0,0.22425
7020408,JumpeiT,1197.0,0.22365
7020413,Yash Vadi,1115.0,0.22341
7020477,Stijn Colenbrander,3138.0,0.29991
7020490,Ken Miller,2514.0,0.23544
7020508,Ayush Anand,2076.0,0.22837
7020513,Harry Xi,3308.0,0.3375
7020540,Zhijian Li,3110.0,0.2974
7020548,varad,3379.0,0.3375
7020561,Behailu Dereje,2875.0,0.25315
7020575,Mohammed Tayor,985.0,0.2233
7020594,Ming Fong,1153.0,0.22341
7020599,d4divesh,3076.0,0.29096
7020617,Simon Wong,880.0,0.22313000000000002
7020620,Kain,158.0,0.21968000000000001
7020624,Jay Gholizadeh,3438.0,0.3375
7020631,DataGeek|SVJ24,2990.0,0.26329
7020635,Ishwor Bhusal,3704.0,0.70918
7020638,RandomGuy,2529.0,0.23561999999999997
7020673,大亏货,532.0,0.22230999999999998
7020681,Yizhang Li,2854.0,0.25194
7020687,Peter Chuikov,2416.0,0.2353
7020731,Abid Ali Awan,794.0,0.22296999999999997
7020738,datanager,3347.0,0.3375
7020747,Jairo Rangel,3785.0,1.49801
7020762,furu,1355.0,0.2243
7020788,Karthikeyan,1423.0,0.22469
7020792,DG,728.0,0.2227
7020832,Andrey Kislovsky,2846.0,0.25088
7020833,Martin B,3230.0,0.31445
7020841,robotMSU92,3252.0,0.31889
7020842,Anshul Tomar,600.0,0.22230999999999998
7020850,Siarhei Melnik,946.0,0.22324000000000002
7020853,Jared Savage,2242.0,0.23171
7020875,Sachin Prabhu,2355.0,0.23471
7020885,Kareem Sayed,2316.0,0.23378000000000002
7020895,Tatsuya Kaneko,3707.0,0.70918
7020902,Guilherme Silva,3354.0,0.3375
7020905,Nick Verhaege,3348.0,0.3375
7020924,OleksiTkachenko,3369.0,0.3375
7020942,Srinivas,3700.0,0.67656
7020953,cadog,2003.0,0.22826
7020961,kenneth,3393.0,0.3375
7020967,Ivan Furs,2771.0,0.24511
7020987,Azamat Kanametov,3130.0,0.29991
7020989,Luke,2353.0,0.23464000000000002
